"first_name","last_name","games","starts","minutes","points","two_points_made","two_points_attempted","three_points_made","three_points_attempted","free_throws_made","free_throws_attempted","blocked_shot_attempts","offensive_rebounds","defensive_rebounds","assists","screen_assists","turnovers","steals","deflections","loose_balls_recovered","blocked_shots","personal_fouls","personal_fouls_drawn","charges_drawn","technical_fouls","flagrant_fouls","possessions","team_possessions","age","nba"
"abdoulaye","mays",16,14,359.09,112,30,74,13,29,13,22,7,34,69,14,0,25,17,0,0,13,38,25,0,0,0,603.5207,1084.0514,30,0
"abdul","flynn",52,18,1098.18,625,102,183,116,241,73,83,18,12,62,84,0,67,23,0,0,1,94,90,0,0,0,1859.4422,4275.727,25,1
"adiguzel","auguste",37,28,974.98,508,80,181,88,206,84,98,17,8,101,65,0,54,22,0,0,2,75,97,0,0,0,1765.8553,2904.9223,25,0
"agbelese","butterfield",2,0,33.38,12,2,7,1,3,5,6,0,1,4,13,0,6,3,0,0,0,5,5,0,0,0,61.2923,734.4944,29,0
"ager","koenig",43,43,1108,598,233,446,1,6,129,196,23,161,215,39,0,58,22,0,0,14,137,195,0,0,0,2046.3889,3232.1124,28,0
"ahearn","barnies",5,0,79.52,25,4,20,5,17,2,7,1,0,7,4,0,7,2,0,0,0,11,8,0,0,0,142.0009,1142.8748,27,0
"ahmad","rice",3,1,31.26,15,6,7,0,0,3,5,0,0,6,0,0,0,2,0,0,3,5,7,0,0,0,53.4837,410.6237,21,1
"ahmet","ridnour",9,4,159.33,31,8,19,1,8,12,20,1,2,8,21,0,17,8,0,0,0,13,19,0,0,0,269.2853,1962.2319,29,0
"al","garuba",18,2,327.08,111,12,28,20,73,27,35,1,16,45,19,0,12,13,0,0,2,44,40,0,0,0,567.3011,2081.3264,36,0
"alando","nedovic",2,0,26.75,14,4,6,1,4,3,4,0,0,1,1,0,2,0,0,0,0,1,3,0,0,0,46.7968,1128.3718,23,0
"albert","carroll",18,10,456.85,155,65,108,0,2,25,48,2,30,47,28,0,22,23,0,0,12,53,69,0,0,0,779.9365,2065.7281,30,0
"aldemir","kalaitzakis",2,2,39.7,20,5,11,3,6,1,2,0,1,6,1,0,2,1,0,0,6,8,6,0,0,0,69.4258,1337.8054,31,0
"aleksandar","love",29,20,802.12,350,97,172,26,75,78,114,12,54,193,56,0,44,38,0,0,20,66,103,0,0,0,1385.4178,2038.0834,27,1
"alexis","macura",8,6,187.41,92,22,54,11,25,15,17,3,8,38,6,0,15,3,0,0,1,19,23,0,0,0,323.3267,698.7176,35,0
"ali","bass",41,4,673.26,337,117,186,14,38,61,82,6,41,129,20,0,55,21,0,0,39,86,72,0,0,0,1221.0577,4389.9309,26,0
"alize","redick",5,0,56.77,24,8,10,0,0,8,13,0,4,3,2,0,1,4,0,0,5,9,10,0,0,0,101.625,1145.6832,27,0
"almazan","koufos",9,4,172,38,5,21,6,24,10,13,0,6,24,7,0,9,4,0,0,2,15,6,0,0,0,310.5938,2175.9622,28,0
"alonzo","dooling",23,9,540.52,193,57,131,17,57,28,38,7,9,47,85,0,45,20,0,0,1,70,62,0,0,0,939.6183,1686.2195,32,0
"alviti","pasecniks",21,19,444.3,162,68,117,0,0,26,49,3,30,81,13,0,35,13,0,0,29,58,55,0,0,0,832.1825,2577.2296,30,0
"amal","terry",6,6,143,60,20,35,4,13,8,18,1,8,22,6,0,15,4,0,0,5,18,18,0,0,0,267.2965,2243.0472,29,0
"amar","white",1,0,3.85,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0924,1768.5673,31,0
"andersen","oni",21,20,496.16,187,78,141,0,0,31,58,8,57,105,23,0,45,13,0,0,16,65,86,0,0,0,863.3728,2383.9329,32,0
"anderson","campbell",44,14,714.33,364,130,213,23,68,35,52,12,80,158,26,0,31,15,0,0,25,91,47,0,0,0,1249.7835,4241.6615,26,0
"andre","morant",53,52,1426.67,1007,219,352,90,274,299,338,18,81,244,81,0,100,61,0,0,26,103,273,0,0,0,2610.9,4489.7492,29,0
"andrew","varejao",20,1,336.77,134,28,68,19,47,21,21,3,4,18,62,0,52,8,0,0,1,28,31,0,0,0,598.8304,1707.0141,38,0
"angola","chiozza",11,6,261,73,17,42,9,26,12,20,0,13,48,8,0,14,5,0,0,0,24,18,0,0,0,475.0562,2193.2672,36,0
"antawn","saric",9,6,132.17,39,14,33,0,1,11,14,4,9,13,0,0,15,1,0,0,2,19,13,0,0,0,241.4132,2529.7114,29,0
"antic","wilbekin",10,10,330.92,184,39,68,27,62,25,33,4,6,22,61,0,27,7,0,0,0,19,33,0,0,0,611.4456,757.5591,31,0
"antoine","layman",28,26,764,265,47,118,44,138,39,47,5,11,66,39,0,44,42,0,0,7,88,68,0,0,0,1338.9508,2287.0823,26,0
"armstrong","stanley",2,0,52.8,23,6,14,0,0,11,17,0,1,6,3,0,3,0,0,0,1,3,14,0,0,0,91.9176,844.3259,29,0
"aron","roos",20,10,429.53,260,85,146,0,0,90,110,6,38,63,26,0,24,6,0,0,10,39,90,0,0,0,763.4995,1990.8117,32,0
"ashton","holiday",2,0,32.45,10,2,7,2,5,0,0,0,4,4,1,0,2,1,0,0,0,3,1,0,0,0,56.0885,2350.6905,31,0
"asik","onuaku",6,5,119,45,20,42,0,0,5,7,2,11,22,1,0,15,5,0,0,5,12,9,0,0,0,218.4473,2799.4294,31,0
"augustine","elleby",7,3,143,22,3,23,2,20,10,11,2,2,11,11,0,7,5,0,0,1,12,14,0,0,0,265.2755,2235.3637,26,0
"babb","wear",34,34,945.39,456,128,278,31,103,107,138,11,37,119,54,0,50,25,0,0,32,79,131,0,0,0,1744.4396,2517.9907,27,0
"babbitt","dupree",6,6,182.44,93,31,62,7,22,10,13,4,5,16,24,0,13,4,0,0,0,11,17,0,0,0,318.6662,2096.0426,32,0
"badji","dotson",10,2,178.08,61,11,16,10,31,9,14,1,6,15,6,0,10,3,0,0,2,17,13,0,0,0,319.2937,1156.4713,32,0
"balcerowski","lountzis",30,30,884,549,122,225,66,197,107,133,8,19,62,59,0,92,43,0,0,0,93,143,0,0,0,1687.5887,2300.3895,26,1
"balvin","ceballos",2,2,35.83,11,4,8,1,5,0,0,0,0,1,3,0,3,1,0,0,0,7,2,0,0,0,66.5544,1040.2033,26,0
"bam","slay",10,8,313.51,120,47,77,3,12,17,32,4,12,59,16,0,29,14,0,0,7,30,42,0,0,0,573.7992,732.0822,32,0
"banks","scrubb",2,0,20.63,6,0,3,1,2,3,4,0,1,3,0,0,3,3,0,0,0,2,5,0,0,0,37.5002,736.1738,26,0
"baron","lacombe",26,15,534.16,196,64,132,18,51,14,19,4,25,85,12,0,25,18,0,0,2,70,23,0,0,0,946.6976,2410.3392,26,0
"bartoli","catanella",2,0,23.1,2,1,5,0,3,0,0,2,1,3,1,0,3,2,0,0,2,5,1,0,0,0,41.2195,4297.4246,35,0
"baston","seeley",7,4,149.44,52,15,34,3,8,13,21,5,4,17,11,0,7,6,0,0,0,13,22,0,0,0,265.2326,1144.7633,25,0
"batiste","cassell",28,20,730.53,316,69,114,44,118,46,69,7,20,89,34,0,29,30,0,0,9,42,71,0,0,0,1247.1644,2065.7281,29,0
"baxter","balvin",6,0,70.75,16,6,16,0,0,4,8,0,4,13,2,0,6,1,0,0,3,8,5,0,0,0,126.8928,2466.1212,34,0
"beau","tambone",18,16,504.38,223,61,117,21,65,38,51,5,6,32,93,0,33,13,0,0,1,49,59,0,0,0,883.7419,5037.1559,28,0
"bellas","sahar",34,24,881.09,389,122,224,39,127,28,37,21,81,122,21,0,36,33,0,0,21,76,34,0,0,0,1594.8026,2461.6567,25,1
"ben","yanyuhang",12,2,210.31,51,11,23,7,18,8,11,4,4,15,20,0,14,3,0,0,0,26,15,0,0,0,381.8025,2114.9654,34,0
"benson","dozier",33,32,882,197,48,101,22,81,35,43,1,30,127,85,0,41,31,0,0,34,58,49,0,0,0,1660.4097,2513.2052,35,0
"benzing","mancinelli",12,2,166.07,62,8,20,6,15,28,37,0,18,16,5,0,7,1,0,0,5,29,31,0,0,0,296.099,1143.3911,32,0
"beverley","nwora",20,8,349.16,97,20,44,14,54,15,23,8,11,22,38,0,16,7,0,0,4,25,33,0,0,0,621.962,2137.5855,27,0
"biancotto","raieste",12,5,243.48,102,19,40,19,51,7,7,1,2,27,9,0,10,6,0,0,0,25,11,0,0,0,434.6895,2579.8114,24,1
"bilan","english",28,24,676.52,361,145,277,0,0,71,95,22,62,127,71,0,71,37,0,0,16,60,105,0,0,0,1175.1455,2093.1181,30,0
"biordi","baron",29,28,743.35,420,79,177,54,147,100,116,16,12,73,123,0,77,28,0,0,1,73,130,0,0,0,1352.5135,2183.3701,27,0
"birch","harkless",28,7,422.13,158,45,90,13,49,29,43,8,26,50,24,0,18,16,0,0,3,50,30,0,0,0,721.7726,2376.65,27,0
"bismack","quinn",5,1,87.43,29,8,12,3,12,4,6,3,2,10,3,0,5,3,0,0,1,11,4,0,0,0,155.6808,1148.5019,31,0
"blackmon jr.","barkley",41,41,1322,475,81,170,74,205,91,111,12,59,230,64,0,119,54,0,0,15,93,102,0,0,0,2419.7297,3020.0863,33,0
"blake","blakeney",8,6,235.01,94,25,42,7,23,23,26,2,6,23,7,0,12,3,0,0,2,18,22,0,0,0,404.8103,706.2416,33,0
"blalock","sharapov",13,7,282.93,150,45,80,11,34,27,37,4,13,31,24,0,19,9,0,0,5,20,31,0,0,0,503.7948,1148.5019,29,0
"blazic","canaan",34,12,774.63,422,100,210,46,128,84,101,7,23,135,55,0,67,34,0,0,15,98,118,0,0,0,1384.807,3012.0045,32,0
"blue","richmond",27,12,547.58,287,38,94,56,136,43,54,12,8,58,33,0,45,15,0,0,3,51,43,0,0,0,975.8427,2085.0472,27,0
"blums","sefolosha",22,4,271.24,83,13,27,16,40,9,9,1,13,19,17,0,12,8,0,0,2,41,14,0,0,0,488.7142,2171.124,27,0
"bo","maloney",28,1,528.4,281,41,108,52,132,43,63,10,14,54,41,0,43,29,0,0,4,60,67,0,0,0,959.2717,2114.9654,24,0
"bonzie","landers",31,22,992.86,376,150,256,0,1,76,118,7,76,165,68,0,38,30,0,0,68,64,116,0,0,0,1691.7148,2402.4885,30,0
"borisa","ha",10,5,232.35,113,10,21,29,70,6,7,2,1,10,12,0,5,3,0,0,0,18,7,0,0,0,397.3387,1103.013,29,0
"boumtje-boumtje","shields",16,7,311.36,119,14,29,21,56,28,35,3,7,43,17,0,17,11,0,0,2,24,27,0,0,0,577.3397,3038.3748,37,0
"bracey","upson",24,18,538.7,281,74,134,29,72,46,49,7,36,102,35,0,36,12,0,0,11,61,57,0,0,0,960.4383,1729.3736,22,1
"brackins","vassell",8,8,236,128,28,62,11,51,39,46,1,5,24,12,0,25,15,0,0,1,26,32,0,0,0,451.3391,1616.0234,25,0
"brady","sanders",8,2,163.26,98,15,31,18,45,14,17,1,2,8,18,0,7,6,0,0,1,22,19,0,0,0,289.3966,2127.1451,32,0
"brandin","zimmerman",15,9,316.65,141,30,69,20,54,21,28,4,1,14,30,0,18,2,0,0,0,35,29,0,0,0,570.7368,1153.5678,29,0
"branko","richardson",23,9,446.52,216,43,87,26,87,52,77,17,7,33,31,0,27,15,0,0,0,45,83,0,0,0,807.1533,5241.0452,31,0
"bray","baldwin",26,21,621.7,222,40,66,36,92,34,48,5,11,83,39,0,49,36,0,0,8,46,41,0,0,0,1101.2153,2152.1399,30,0
"brevin","sokolowski",16,1,299.89,155,30,51,28,41,11,14,1,5,39,13,0,13,5,0,0,3,33,17,0,0,0,527.3344,1169.3322,29,0
"brice","reiner",10,9,261.34,138,30,67,19,55,21,29,5,16,35,14,0,21,4,0,0,3,25,28,0,0,0,471.2103,721.2362,27,0
"brody","miller",33,1,555.58,152,58,97,0,0,36,68,7,70,124,33,0,58,14,0,0,14,91,55,0,0,0,962.5191,4545.4563,34,0
"bronson","hannahs",1,0,16.23,7,3,5,0,2,1,3,1,1,1,1,0,2,1,0,0,0,3,3,0,0,0,27.716,691.6252,34,0
"brown","franklin",3,1,73.74,35,5,17,5,14,10,12,1,3,9,6,0,11,2,0,0,0,9,10,0,0,0,137.2979,903.0305,24,0
"bryant","enoch",21,21,528,199,84,142,4,15,19,36,7,35,112,25,0,29,18,0,0,14,50,37,0,0,0,975.2726,1708.5742,28,0
"bryce","mcilvaine",23,23,642.16,184,28,54,34,94,26,38,4,4,30,166,0,41,30,0,0,0,51,57,0,0,0,1142.6811,2028.5614,38,0
"burks","eddie",39,7,481.91,224,58,104,23,58,39,49,11,25,35,11,0,19,11,0,0,4,38,39,0,0,0,842.7527,4241.6615,30,0
"burrell","fredette",25,11,472.92,208,54,84,22,50,34,40,8,36,76,29,0,21,8,0,0,11,61,44,0,0,0,852.0967,2171.124,28,1
"butterfield","dawson",29,28,831,269,48,121,47,142,32,39,4,18,75,94,0,45,45,0,0,0,64,60,0,0,0,1503.1183,2179.612,34,0
"calderon","laquintana",5,0,8.18,2,1,1,0,2,0,0,0,0,0,2,0,1,1,0,0,0,4,0,0,0,0,14.6086,1142.9721,22,0
"calvin","roberts",31,14,426.65,214,89,115,0,0,36,70,4,37,72,6,0,29,8,0,0,24,58,53,0,0,0,748.7588,4637.7909,30,0
"candan","williams",5,3,115.82,45,8,25,7,21,8,16,2,6,13,6,0,6,2,0,0,0,7,15,0,0,0,203.3212,702.1972,32,0
"carrington","sloan",37,26,854.76,305,25,55,69,158,48,54,1,20,77,37,0,35,18,0,0,20,117,49,0,0,0,1584.2731,5256.8411,24,1
"casarin","luwawu-cabarrot",6,6,180.71,73,8,15,15,30,12,20,1,3,21,17,0,9,8,0,0,3,20,27,0,0,0,298.5388,925.1349,25,1
"catanella","hannah",16,4,277.51,135,58,91,0,0,19,53,3,45,55,5,0,18,4,0,0,15,50,46,0,0,0,495.9639,1161.6719,27,1
"cattapan","thompson",2,2,56.7,29,6,14,4,14,5,6,0,0,5,12,0,8,0,0,0,0,2,8,0,0,0,103.5278,730.6104,35,0
"cezary","mckey",28,10,624.43,176,32,73,29,78,25,33,5,31,68,27,0,15,10,0,0,6,54,38,0,0,0,1041.6162,2035.0875,26,0
"chappell","kukoc",7,6,163,73,23,53,6,16,9,17,4,0,7,20,0,14,2,0,0,0,18,20,0,0,0,303.3791,2261.3843,24,0
"charalampopoulos","may",15,15,379.25,208,60,101,13,36,49,66,5,18,49,25,0,22,38,0,0,5,36,48,0,0,0,698.9048,1197.8666,26,1
"chasson","munoz",15,11,289.79,113,37,68,10,33,9,18,5,2,25,40,0,13,6,0,0,0,22,20,0,0,0,526.0926,2114.9654,29,0
"cheese","maten",30,25,663,308,129,227,0,1,50,68,15,81,129,29,0,49,19,0,0,14,97,62,0,0,0,1197.5182,2203.5781,26,0
"christian","evstigneev",10,7,221.95,63,14,36,6,21,17,17,2,8,19,24,0,12,4,0,0,1,23,14,0,0,0,382.8888,707.2964,26,0
"christmas","clarke",6,6,150.8,36,7,19,5,16,7,10,5,4,21,10,0,5,2,0,0,3,11,18,0,0,0,259.5451,421.6782,32,0
"cissoko","abromaitis",9,2,101.76,32,9,19,3,9,5,7,3,5,11,2,0,9,1,0,0,7,21,7,0,0,0,185.8682,2529.7114,27,0
"clarke","cross",27,1,298.84,69,9,27,13,35,12,15,1,5,20,23,0,23,17,0,0,2,27,20,0,0,0,532.563,2085.0472,27,0
"clavell","moreland",21,4,289.83,100,12,28,21,50,13,18,3,14,25,1,0,10,2,0,0,3,39,17,0,0,0,533.9193,1768.5673,29,0
"cleaves","rucker",19,16,450.16,167,49,110,11,39,36,64,5,20,53,27,0,46,11,0,0,17,45,54,0,0,0,835.2443,1651.3739,31,0
"cliff","giricek",4,1,80.59,45,16,32,1,10,10,17,2,4,7,18,0,9,2,0,0,0,5,12,0,0,0,152.581,2224.6724,27,0
"coby","arenas",13,11,212.18,120,13,30,26,52,16,22,1,2,32,15,0,15,4,0,0,0,25,24,0,0,0,380.4342,1156.4713,28,0
"colson","guerrero",1,0,3.18,5,0,0,1,1,2,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,6.032,1213.9926,26,0
"conklin","coleman",49,24,937.96,348,108,181,28,103,48,59,10,66,142,54,0,47,27,0,0,9,89,63,0,0,0,1734.1392,5360.4987,29,0
"conroy","mashburn",43,14,896.73,364,82,170,43,117,71,83,6,13,67,103,0,71,30,0,0,1,77,104,0,0,0,1649.5012,3454.3434,25,0
"conti","forbes",26,26,810.45,557,88,186,83,252,132,148,15,6,63,162,0,102,24,0,0,10,53,135,0,0,0,1460.2507,2171.124,32,0
"coronica","ebi",42,30,709.86,256,43,94,50,115,20,31,3,24,81,16,0,26,15,0,0,2,88,32,0,0,0,1296.648,3379.0779,27,0
"cotton","clyburn",22,20,542.28,248,50,86,34,119,46,57,11,0,26,102,0,58,8,0,0,0,33,63,0,0,0,960.5389,2152.1399,38,0
"cummings","kelley",15,11,324.82,163,41,82,21,63,18,25,7,5,20,30,0,20,16,0,0,0,34,35,0,0,0,586.2151,2489.7807,27,0
"cunningham","moultrie",36,25,939.96,408,88,192,40,120,112,131,20,21,76,138,0,53,48,0,0,2,84,130,0,0,0,1549.881,2407.3809,29,1
"curtis","sola",22,7,269.31,106,36,73,0,0,34,59,7,23,36,7,0,24,8,0,0,5,55,45,0,0,0,490.5692,2950.8991,24,0
"czerapowicz","coker",20,20,526.33,300,130,211,0,5,40,73,7,60,117,11,0,35,11,0,0,18,65,77,0,0,0,945.9875,1446.8453,34,0
"d'ercole","alonso",47,37,995.2,383,146,224,0,1,91,131,11,94,178,17,0,43,22,0,0,37,127,124,0,0,0,1769.9297,3722.2186,27,0
"d'or","parrado",4,2,86,26,3,15,3,16,11,12,1,0,14,8,0,10,3,0,0,0,13,9,0,0,0,157.9211,2249.4581,32,0
"dakari","bassas",8,4,198.85,99,18,36,19,44,6,6,0,2,16,18,0,19,4,0,0,0,14,12,0,0,0,363.0776,730.6104,25,0
"dallas","mockevicius",35,34,649.34,249,52,109,36,106,37,47,8,29,68,26,0,19,21,0,0,3,63,51,0,0,0,1177.6086,2575.244,22,1
"damian","roll",23,1,425,136,31,79,20,55,14,16,6,14,49,34,0,29,17,0,0,2,20,29,0,0,0,775.9696,2200.1019,35,0
"damion","mottola",16,16,497.78,255,28,59,44,116,67,78,3,8,38,44,0,37,18,0,0,5,42,81,0,0,0,874.492,1147.18,26,0
"daniel","kornet",9,0,40.61,8,3,10,0,1,2,4,1,4,0,1,0,4,0,0,0,0,5,2,0,0,0,72.8534,1736.8499,18,1
"daniels","brimah",24,24,654.95,398,149,239,0,0,100,128,13,83,173,24,0,33,9,0,0,21,36,110,0,0,0,1176.4401,1744.149,27,1
"danilo","spellman",4,0,41,11,4,6,0,2,3,4,0,6,5,0,0,5,2,0,0,0,4,2,0,0,0,74.8582,2200.1019,34,0
"daquan","poeta",10,10,262.42,138,54,92,0,0,30,43,6,39,59,5,0,25,5,0,0,5,30,43,0,0,0,450.3115,686.4016,27,1
"dario","pleiss",13,2,204.94,63,15,29,9,33,6,9,2,3,8,15,0,11,5,0,0,0,12,10,0,0,0,349.4927,963.5215,32,0
"darrell","woodard",37,21,670.01,269,103,165,0,0,63,98,15,83,126,12,0,38,18,0,0,36,74,79,0,0,0,1170.0016,2593.1946,26,1
"darren","vidmar",16,0,354.41,139,12,32,29,68,28,33,0,8,20,25,0,22,11,0,0,7,24,29,0,0,0,634.436,1145.6832,27,0
"darryl","durant",34,14,759.94,301,97,190,15,73,62,93,12,16,55,133,0,93,42,0,0,4,96,137,0,0,0,1329.8381,2388.6688,23,1
"daryl","adel",56,47,1246.36,753,252,450,50,118,99,132,19,103,205,46,0,62,54,0,0,44,108,130,0,0,0,2153.4224,3974.8061,26,0
"datome","cissoko",45,12,1010.86,461,59,126,84,201,91,126,5,10,80,194,0,102,29,0,0,3,127,145,0,0,0,1848.8609,4489.7492,31,0
"daum","wright",25,14,585.42,311,71,154,36,97,61,69,7,17,82,22,0,43,12,0,0,2,60,65,0,0,0,1042.1876,2278.9482,37,0
"daval-braquet","huffman",35,17,778.17,329,60,96,50,107,59,70,6,12,57,77,0,42,32,0,0,8,72,71,0,0,0,1296.7422,2357.9389,24,0
"dave","devecchi",17,2,214.52,78,13,36,7,23,31,36,3,1,19,43,0,25,8,0,0,0,12,33,0,0,0,368.3996,2292.6227,24,0
"davidson","ndoye",5,1,122.46,53,23,37,0,0,7,17,1,15,21,11,0,16,3,0,0,7,13,14,0,0,0,226.0203,738.2516,27,0
"davies","diogu",9,0,91.48,39,9,24,5,13,6,8,1,5,7,5,0,11,6,0,0,0,18,5,0,0,0,164.0728,2466.1212,29,0
"davon","basden",16,9,359.03,172,38,99,17,37,45,53,4,28,52,9,0,23,15,0,0,15,43,45,0,0,0,647.1234,1153.5678,25,0
"de'aaron","bluiett",27,22,473.67,186,85,135,0,2,16,24,2,42,86,6,0,27,10,0,0,25,53,23,0,0,0,866.8098,2232.5655,23,0
"de nicolao","bremer",29,6,635.93,197,61,131,15,36,30,38,8,29,95,31,0,27,27,0,0,5,77,52,0,0,0,1108.1416,2091.0703,27,0
"deandre","deck",7,1,65.2,49,14,33,2,12,15,22,5,2,6,6,0,6,2,0,0,1,10,15,0,0,0,115.5743,2127.1451,26,0
"deandre'","rey",4,3,49.93,6,3,12,0,0,0,0,2,2,7,1,0,3,2,0,0,0,9,1,0,0,0,93.695,910.1157,34,0
"dejuan","cheese",6,6,199.72,84,29,53,5,10,11,17,2,10,37,8,0,7,9,0,0,7,11,16,0,0,0,357.7331,429.8887,27,0
"dekker","pauli",13,0,218.52,51,9,36,8,29,9,13,4,1,13,57,0,17,7,0,0,0,27,21,0,0,0,399.3654,5866.3636,30,0
"del val garcia","datome",6,1,143.54,88,32,54,0,1,24,36,0,7,20,3,0,21,5,0,0,2,19,26,0,0,0,266.9368,446.3241,30,0
"delfino","irving",10,9,210.99,117,50,79,2,9,11,22,1,14,52,7,0,7,7,0,0,17,19,19,0,0,0,405.8263,769.3639,26,0
"delgado","gallo",49,0,511.55,255,36,82,52,136,27,35,6,11,88,9,0,25,5,0,0,10,65,34,0,0,0,926.4082,5646.0016,38,0
"delia","parrillo",30,13,685.97,193,40,74,30,73,23,33,1,13,78,88,0,38,23,0,0,2,56,62,0,0,0,1185.9525,2091.9319,27,1
"dellosto","gaspardo",37,34,1060,542,140,282,65,211,67,95,23,38,114,57,0,61,26,0,0,9,81,95,0,0,0,1874.044,2651.9491,33,0
"demitrius","garcia",4,0,74,32,4,16,2,8,18,26,0,2,8,13,0,11,1,0,0,0,13,23,0,0,0,134.9684,2115.7204,33,0
"denis","satoransky",10,10,328.03,158,44,81,9,27,43,58,2,8,32,53,0,36,22,0,0,11,14,55,0,0,0,615.5572,910.1157,27,0
"derek","dickau",6,0,64,31,6,10,4,5,7,12,0,5,12,3,0,4,3,0,0,1,9,9,0,0,0,115.5471,1372.1367,34,0
"deri","mutombo",4,0,76.83,36,5,13,7,17,5,6,1,2,5,4,0,8,3,0,0,0,8,4,0,0,0,138.3082,720.0703,27,0
"devonte","bretzel",13,5,236.83,137,29,47,17,43,28,33,2,15,36,10,0,12,7,0,0,7,29,30,0,0,0,410.1511,1948.3137,29,0
"dewan","forrest",1,0,16.42,6,2,8,0,1,2,2,1,1,2,1,0,2,0,0,0,0,2,1,0,0,0,28.7308,1705.9953,27,0
"deyonta","carlson",2,0,13.93,2,1,4,0,1,0,0,0,0,1,1,0,0,3,0,0,0,1,1,0,0,0,25.2627,2575.244,20,1
"dez","balkman",43,34,1229.67,521,72,185,94,261,95,116,5,36,123,86,0,66,57,0,0,2,100,119,0,0,0,2314.9927,3470.5047,34,0
"diawara","dulkys",14,13,236,118,51,86,0,1,16,28,3,32,55,6,0,18,14,0,0,4,32,30,0,0,0,430.4397,2115.7204,28,0
"dickens","cummings",33,26,599.01,250,58,133,26,86,56,63,8,11,84,34,0,39,28,0,0,6,39,41,0,0,0,1090.9429,3281.1655,28,0
"dijon","stojakovic",9,2,69.38,20,1,2,6,12,0,0,0,2,1,2,0,1,3,0,0,0,17,1,0,0,0,126.9645,2232.5655,34,0
